artist,title,writer,publisher,theme
Gene Vincent and his Blue Caps,Be-Bop-A-Lula,Doris|Vincent,publishing pending,
Mogen David & The Grapes Of Wrath,Don't Want Ya No More,Steve Fuller|Ron Sims,"Don-Del Music, BMI",
Herbie Duncan with Red Wells and his Caravans from St. Louis,Little Angel,Herbie Duncan,"Hits of Tomorrow Pub., BMI",
Pretty Boy AKA Don Covay,Rockin' The Mule,Prosen,publising pending,
Pretty Boy AKA Don Covay,Mary(ting-a-ling),Covay,publishing pending,
Pretty Boy AKA Don Covay,Ooh My Soul,Penniman,publishing pending,
Joe Boot and the Four Winds,Rock And Roll Radio,writer pending,publishing pending,
Mighty El Dukes,Walking Beside You ,writer pending,publishing pending,
The 5.6.7.8's,Rock And Roll Santa,J. Farr| T. Farr,publishing pending,holiday|christmas
The 5.6.7.8's,Harlem Shuffle,Relf|Nelson,publishing pending,holiday|christmas
Reigning Sound,If Christmas Can't Bring You Home,G. Cartwright,publishing pending,holiday|christmas
Reigning Sound,That's All I Want,G. Cartwright,publishing pending,holiday|christmas
Reigning Sound,Jingle Bell Rock,Beal|Boothe,publishing pending,holiday|christmas
Jimmy Lee Fautheree,I Want The Cake(and not the crumbs),Stovers,publishing pending,
Jimmy Lee Fautheree,You're Not Play Love,Fautheree,publishing pending,
Scotty McKay,Bad Times,Lipscomb,publishing pending,
"Clovertones, The",Didn't It Rain,Traditional,publishing pending,
Reigning Sound,Black Sheep,B. McDill,publishing pending,
Reigning Sound,Tennessee,C. Perkins,publishing pending,
"Alarm Clocks, The",Gloria,Van Morrison,pub-BMI Comp-Van,
"U-Turns, The",7 and 7 is,Arthur Lee,publishing pending,
"U-Turns, The",Dedicated Follower of Fashion,Ray Davies,publishing pending,
"U-Turns, The",Get Off My Cloud,Jagger-Richards,publishing pending,
"U-Turns, The",I'm Down,Lennon-McCartney,publishing pending,
Bunker Hill,Hide And Go Seek - Part 1,Bunker Hill,"Vernon Wray Music, BMI",
Bunker Hill,Hide And Go Seek - Part 2,Bunker Hill,"Vernon Wray Music, BMI",
Vikings,I Need Your Loving,J. Propri,publishing pending,
Vikings,Such A Love,J. Propri,publishing pending,
Black Lips,Christmas In Baghdad,Black Lips,publishing pending,holiday|christmas
King Khan And BBQ Show,Plump Righteous,A.A Khan|Mark Sultan,publishing pending,holiday|christmas
"Zodiacs, The",Blintz,Moore,publishing pending,
"Zodiacs, The",Jungle Beat,Moore,publishing pending,
"Zodiacs, The",Caravan,Ellington-Tizol-Mills,publishing pending,
"Zodiacs, The",The Caterpillar Crawl,Hill-Kirby-Lynch-Callard,publishing pending,
"Egyptians, The",The Party Stomp,H. Hanks|J. Mathews,"Swing Beat Songs, BMI",
"Egyptians, The",Inkster Boogie,H. Hanks|J. Mathews,"Swing Beat Songs, BMI",
Mary Weiss,I Don't Want To Know,Greg Cartwright,"Big Gamble Music, ASCAP",
Roky Erickson and the Explosives,Wait For You,Roky Erickson,"Roky Erickson Music, BMI",
Roky Erickson and the Explosives,I've Just Seen A Face,Lennon-McCartney,Sony|ATV Tunes LLC,
Little Johnny and the Silvertones,I've Got A Woman,Chatham,publishing pending,
Tom Carter and the Ramrods,Flyin' Saucer Twist,Tom Carter,publishing pending,
