title,artist,catalogue,writer,publisher,theme
Steady With Betty (Demo) ,Benny Joy ,ED-348,Benny Joy-Eidson-Shelby Singleton
Maintaining My Cool ,A-Bones ,CED-310,Roslie 
Record Rendezvous ,The Mad Daddy ,CED300,P. Myers
I Want You I Need You I Love You ,Link Wray ,CED-211,
Hey Boss Man ,Flat Duo Jets ,CED-230,
Yesterday's Trash ,The Hentchmen ,CED264,The Hentchmen
Roberta ,The Real Kids ,CED-266,J. Felice
Put De Pot On Mary ,Various Artists ,,Perkins
I'll Wait For You ,Sun Ra ,ED-365,Sun Ra 
Finders Keepers ,Various Artists ,ED-371,Guess 
Subway Train ,New York Dolls ,CED279,
Lil' Red Riding Hood ,Various Artists ,CED-234,
Ooh Poo Pah Doo ,Various Artists ,CNW-907,
Contentment ,The Untamed Youth ,CED-249,
Spaceship Lullaby (Unissued Studio Rehearsal) ,Sun Ra ,CED-352,Sun Ra 
Bitter Bells ,Various Artists ,ED 343,Fanatics
Blow Out ,Outcasts ,ED-378,Sonics 
My Confusion ,Various Artists ,CED305,
Tomorrow You're Gone ,Hasil Adkins ,CED-217,H. Adkins
Slewfoot Sue ,Various Artists ,CED-312,J. Arnold
Cyclon ,The Church Keys ,CED-269,T. Andreason
Mad Man On The Loose ,The Flat Duo Jets ,CED-250,Dex Romweber
Velvet Touch (Live) ,Figures of Light ,CED-336,Downey
Woe Woe ,Roy Head And The Traits ,CED - 358,Head
Praying for a Miracle ,Various Artists ,Norton/Massabesic105,
"Shame, Shame ",The Mighty Hannibal ,CED290,James T. Shaw
I'm Glad ,Stud Cole ,CED293,
That's It Baby ,Wade Curtiss & The Rhythm Rockers ,CED-258,Lindler
Tallahassee Lassie ,The Flamin' Groovies ,CED 297,
Thunder ,Bobby Fuller ,CED 318,B. Taylor
I Don't Guess I'll Never Know ,Various Artists ,ED 360,Wallace
In The Open ,The Sonics ,CNW 913,
Salt & Pepper ,King Coleman ,CED298,Brown-Dobbs-Douglas
